meal plan,car parking space,room type,lead time,repeated,average price,special requests,booking status,market segment type_Complementary,market segment type_Corporate,market segment type_Offline,market segment type_Online,year,month,day,total nights,total people
1,0,1,224,0,88.0,0,0,False,False,True,False,2015,10,2,7,2
0,0,1,5,0,106.68,1,0,False,False,False,True,2018,11,6,4,1
1,0,1,1,0,50.0,0,1,False,False,False,True,2018,2,28,4,3
1,0,1,211,0,100.0,1,1,False,False,False,True,2017,5,20,2,1
0,0,1,48,0,77.0,0,1,False,False,False,True,2018,4,11,3,1
1,0,1,34,0,107.55,1,0,False,False,False,True,2017,10,15,5,2
1,0,4,83,0,105.61,1,0,False,False,False,True,2018,12,26,4,3
1,0,1,121,0,96.9,1,0,False,False,True,False,2018,7,6,4,2
1,0,4,44,0,133.44,3,0,False,False,False,True,2018,10,18,5,2
0,0,1,0,0,85.03,0,0,False,False,False,True,2018,9,11,1,1
1,0,4,35,0,140.4,1,0,False,False,False,True,2018,4,30,3,1
0,0,1,30,0,88.0,0,1,False,False,False,True,2018,11,26,3,2
1,0,1,95,0,90.0,2,1,False,False,False,True,2018,11,20,2,1
1,0,1,47,0,94.5,2,0,False,False,False,True,2017,10,20,2,2
2,0,1,256,0,115.0,1,1,False,False,False,True,2018,6,15,2,2
1,0,1,0,0,96.0,0,0,False,False,True,False,2017,10,5,1,1
0,0,1,1,0,96.0,1,0,False,False,False,True,2017,8,10,4,2
1,0,1,99,0,65.0,0,1,False,False,False,True,2017,10,30,4,2
1,0,1,12,0,72.0,0,0,False,False,True,False,2017,10,4,1,2
1,0,1,99,0,65.0,0,1,False,False,False,True,2017,10,30,4,2
1,0,1,122,0,67.0,0,0,False,True,False,False,2018,11,25,1,1
1,0,1,2,0,85.0,0,0,False,False,True,False,2018,3,20,6,2
1,0,1,37,0,105.0,0,0,False,False,True,False,2018,10,13,3,2
0,0,1,130,0,94.5,1,0,False,False,False,True,2018,5,22,3,2
1,0,1,99,0,114.3,1,0,False,False,False,True,2018,4,28,2,2
1,0,1,60,0,65.0,0,0,False,False,True,False,2017,9,21,2,2
